Time,PPG
2015-07-24 12:43:00.7,444
2015-07-24 12:43:00.8,425
2015-07-24 12:43:00.8,423
2015-07-24 12:43:00.9,415
2015-07-24 12:43:00.9,406
2015-07-24 12:43:01.0,404
2015-07-24 12:43:01.0,396
2015-07-24 12:43:01.1,393
2015-07-24 12:43:01.1,381
2015-07-24 12:43:01.2,388
2015-07-24 12:43:01.2,389
2015-07-24 12:43:01.3,413
2015-07-24 12:43:01.3,473
2015-07-24 12:43:01.4,567
2015-07-24 12:43:01.4,559
2015-07-24 12:43:01.5,556
2015-07-24 12:43:01.5,555
2015-07-24 12:43:01.6,515
2015-07-24 12:43:01.6,458
2015-07-24 12:43:01.7,433
2015-07-24 12:43:01.7,431
2015-07-24 12:43:01.8,432
2015-07-24 12:43:01.8,420
2015-07-24 12:43:01.9,389
2015-07-24 12:43:01.9,370
2015-07-24 12:43:02.0,381
2015-07-24 12:43:02.0,363
2015-07-24 12:43:02.1,374
2015-07-24 12:43:02.1,393
2015-07-24 12:43:02.2,463
2015-07-24 12:43:02.2,569
2015-07-24 12:43:02.3,559
2015-07-24 12:43:02.3,559
2015-07-24 12:43:02.4,523
2015-07-24 12:43:02.4,498
2015-07-24 12:43:02.5,476
2015-07-24 12:43:02.5,447
2015-07-24 12:43:02.6,447
2015-07-24 12:43:02.6,440
2015-07-24 12:43:02.7,424
2015-07-24 12:43:02.7,400
2015-07-24 12:43:02.8,402
2015-07-24 12:43:02.8,423
2015-07-24 12:43:02.9,392
2015-07-24 12:43:02.9,383
2015-07-24 12:43:03.0,380
2015-07-24 12:43:03.0,419
2015-07-24 12:43:03.1,482
2015-07-24 12:43:03.1,566
2015-07-24 12:43:03.2,550
2015-07-24 12:43:03.2,549
2015-07-24 12:43:03.3,512
2015-07-24 12:43:03.3,436
2015-07-24 12:43:03.4,403
2015-07-24 12:43:03.4,388
2015-07-24 12:43:03.5,370
2015-07-24 12:43:03.5,357
2015-07-24 12:43:03.6,338
2015-07-24 12:43:03.6,338
2015-07-24 12:43:03.7,335
2015-07-24 12:43:03.7,334
2015-07-24 12:43:03.8,330
2015-07-24 12:43:03.8,345
2015-07-24 12:43:03.9,342
2015-07-24 12:43:03.9,368
2015-07-24 12:43:04.0,454
2015-07-24 12:43:04.0,507
2015-07-24 12:43:04.1,501
2015-07-24 12:43:04.1,452
2015-07-24 12:43:04.2,442
2015-07-24 12:43:04.2,445
2015-07-24 12:43:04.3,413
2015-07-24 12:43:04.3,386
2015-07-24 12:43:04.4,375
2015-07-24 12:43:04.4,374
2015-07-24 12:43:04.5,355
2015-07-24 12:43:04.5,348
2015-07-24 12:43:04.6,345
2015-07-24 12:43:04.7,331
2015-07-24 12:43:04.7,348
2015-07-24 12:43:04.7,372
2015-07-24 12:43:04.8,398
2015-07-24 12:43:04.9,432
2015-07-24 12:43:04.9,494
2015-07-24 12:43:05.0,540
2015-07-24 12:43:05.0,538
2015-07-24 12:43:05.1,507
2015-07-24 12:43:05.1,456
2015-07-24 12:43:05.2,433
2015-07-24 12:43:05.2,417
2015-07-24 12:43:05.3,416
2015-07-24 12:43:05.3,402
2015-07-24 12:43:05.4,385
2015-07-24 12:43:05.4,367
2015-07-24 12:43:05.5,362
2015-07-24 12:43:05.5,353
2015-07-24 12:43:05.6,346
2015-07-24 12:43:05.6,378
2015-07-24 12:43:05.7,370
2015-07-24 12:43:05.7,346
2015-07-24 12:43:05.8,347
2015-07-24 12:43:05.8,402
2015-07-24 12:43:05.9,492
2015-07-24 12:43:05.9,542
2015-07-24 12:43:06.0,560
2015-07-24 12:43:06.0,525
2015-07-24 12:43:06.1,484
2015-07-24 12:43:06.1,441
2015-07-24 12:43:06.2,440
2015-07-24 12:43:06.2,427
2015-07-24 12:43:06.3,405
2015-07-24 12:43:06.3,407
2015-07-24 12:43:06.4,395
2015-07-24 12:43:06.4,400
2015-07-24 12:43:06.5,377
2015-07-24 12:43:06.5,352
2015-07-24 12:43:06.6,342
2015-07-24 12:43:06.6,332
2015-07-24 12:43:06.7,339
2015-07-24 12:43:06.7,354
2015-07-24 12:43:06.8,367
2015-07-24 12:43:06.8,396
2015-07-24 12:43:06.9,482
2015-07-24 12:43:06.9,542
2015-07-24 12:43:07.0,558
2015-07-24 12:43:07.0,503
2015-07-24 12:43:07.1,448
2015-07-24 12:43:07.1,428
2015-07-24 12:43:07.2,420
2015-07-24 12:43:07.2,431
2015-07-24 12:43:07.3,409
2015-07-24 12:43:07.3,379
2015-07-24 12:43:07.4,370
2015-07-24 12:43:07.4,370
2015-07-24 12:43:07.5,364
2015-07-24 12:43:07.5,350
2015-07-24 12:43:07.6,356
2015-07-24 12:43:07.6,371
2015-07-24 12:43:07.7,399
2015-07-24 12:43:07.7,414
2015-07-24 12:43:07.8,429
2015-07-24 12:43:07.8,503
2015-07-24 12:43:07.9,540
2015-07-24 12:43:07.9,537
2015-07-24 12:43:08.0,494
2015-07-24 12:43:08.0,436
2015-07-24 12:43:08.1,424
2015-07-24 12:43:08.1,422
2015-07-24 12:43:08.2,438
2015-07-24 12:43:08.2,401
2015-07-24 12:43:08.3,383
2015-07-24 12:43:08.3,374
2015-07-24 12:43:08.4,360
2015-07-24 12:43:08.4,364
2015-07-24 12:43:08.5,372
2015-07-24 12:43:08.5,369
2015-07-24 12:43:08.6,354
2015-07-24 12:43:08.6,358
2015-07-24 12:43:08.7,365
2015-07-24 12:43:08.7,353
2015-07-24 12:43:08.8,404
2015-07-24 12:43:08.8,490
2015-07-24 12:43:08.9,553
2015-07-24 12:43:08.9,560
2015-07-24 12:43:09.0,525
2015-07-24 12:43:09.0,474
2015-07-24 12:43:09.1,433
2015-07-24 12:43:09.1,431
2015-07-24 12:43:09.2,425
2015-07-24 12:43:09.2,426
2015-07-24 12:43:09.3,388
2015-07-24 12:43:09.3,404
2015-07-24 12:43:09.4,386
2015-07-24 12:43:09.4,362
2015-07-24 12:43:09.5,366
2015-07-24 12:43:09.5,383
2015-07-24 12:43:09.6,375
2015-07-24 12:43:09.6,360
2015-07-24 12:43:09.7,390
2015-07-24 12:43:09.7,397
2015-07-24 12:43:09.8,393
2015-07-24 12:43:09.8,441
2015-07-24 12:43:09.9,508
2015-07-24 12:43:09.9,537
2015-07-24 12:43:10.0,515
2015-07-24 12:43:10.0,479
